Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,denver,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,albuquerque,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,seattle,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,chicago,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,spokane,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,phoenix,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,portland,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,minneapolis,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,boise,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,kennewick,DirecTV,Down detector,No problems,13:28:14,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,dallas,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,chicago,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,los-angeles,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,houston,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,brooklyn,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,milwaukee,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,new-york,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,saint-louis,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,dayton,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,medford,Bright-House-Networks,Down detector,No problems,13:33:10,,73%,,,,,,,,,,7%,19%
Thu 21 Mar 2019,denver,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,albuquerque,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,seattle,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,chicago,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,spokane,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,phoenix,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,portland,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,minneapolis,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,boise,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,kennewick,DirecTV,Down detector,No problems,13:10:49,7%,,,,,,,85%,,7%,,,
Thu 21 Mar 2019,denver,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,minneapolis,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,phoenix,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,seattle,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,portland,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,albuquerque,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,dallas,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,boise,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,des-moines,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
Thu 21 Mar 2019,saint-paul,CenturyLink,Down detector,Possible problems,13:15:02,,88%,,,,,,,,,8%,2%,
