Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,16:45,5.9,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,21:29,5.09,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,01:35,5.11,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,06:31,5.21,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,11:45,5.4,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,18:57,5.53,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,23:35,5.52,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,03:58,5.54,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,09:41,5.7,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,13:58,6.28,11:54:55,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,04:00,1511.02,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,09:19,1511.03,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,18:20,510.09,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,02:54,125.55,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,07:54,125.54,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,06:46,160.05,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:41,510.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,22:06,1512.52,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,05:01,125.52,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,16:02,1511.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:02,16.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
20.Mar.2019,20:55,15.76,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
