Date/Time collected,E-mail,Internet,Location,Phone,Provider,Reports,Source,Status,TV,Total Blackout,Wi-fi
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Denver, CO",8.69%,CenturyLink,524,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Seattle, WA",8.69%,CenturyLink,334,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Portland, OR",8.69%,CenturyLink,282,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Minneapolis, MN",8.69%,CenturyLink,268,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Omaha, NE",8.69%,CenturyLink,260,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Dallas, TX",8.69%,CenturyLink,246,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Salt Lake City, UT",8.69%,CenturyLink,228,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Chicago, IL",8.69%,CenturyLink,210,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Los Angeles, CA",8.69%,CenturyLink,206,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Phoenix, AZ",8.69%,CenturyLink,147,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Des Moines, IA",8.69%,CenturyLink,135,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Tacoma, WA",8.69%,CenturyLink,122,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Albuquerque, NM",8.69%,CenturyLink,95,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Las Vegas, NV",8.69%,CenturyLink,80,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Houston, TX",8.69%,CenturyLink,78,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Saint Paul, MN",8.69%,CenturyLink,73,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Orlando, FL",8.69%,CenturyLink,68,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"West Jordan, UT",8.69%,CenturyLink,64,Is the service down, No problems detected ,.86%,3.71%,8.29%
Thu 21 Mar 2019 13:36:47,3.25%,75.19%,"Irving, TX",8.69%,CenturyLink,62,Is the service down, No problems detected ,.86%,3.71%,8.29%
