Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
evington,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
bethel,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
cumberland,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
bedford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
johnstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
bradford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
randallstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
bowie,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
lexington-park,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:15:02
