Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
evington,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
bethel,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
cumberland,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
bedford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
johnstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
bradford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
randallstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
bowie,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
lexington-park,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:55:48
