Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
chicago,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
los-angeles,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
houston,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
brooklyn,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
milwaukee,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
new-york,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
saint-louis,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
dayton,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
medford,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:16
