Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
los-angeles,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
houston,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
milwaukee,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
saint-louis,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
medford,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
dayton,,6%,76%,16%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,19:12:30
