Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:08
