Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:51:59
