Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
minneapolis,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
seattle,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
portland,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
albuquerque,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
dallas,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
boise,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
des-moines,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
saint-paul,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:33:10
