Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
minneapolis,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
seattle,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
portland,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
albuquerque,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
boise,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
des-moines,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
saint-paul,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:32
