Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
houston,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
brooklyn,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
phoenix,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
dayton,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
tampa,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
sumter,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
greenville,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
garland,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
tempe,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
