Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
houston,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
brooklyn,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
dayton,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
tampa,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
sumter,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
greenville,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
garland,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
tempe,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:51
