Location,Bad signal ,text messaging ,phone ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
houston,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
dayton,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
tampa,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
sumter,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
greenville,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
garland,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
tempe,,10%,76%,13%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
