Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:27:17
