Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
tucson,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
seattle,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
portland,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
albuquerque,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
dallas,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
colorado-springs,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
irving,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
lincoln,71%,28%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,11:54:55
