Location,Bad signal ,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
tucson,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
seattle,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
portland,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
albuquerque,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
lincoln,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
phoenix,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
colorado-springs,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
irving,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:51:59
