Location,Bad signal ,no tv ,poor reception ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
tucson,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
seattle,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
albuquerque,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
lincoln,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
portland,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
colorado-springs,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
irving,,72%,9%,18%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,19:12:30
