Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,11:54:55
