Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
los-angeles,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
long-beach,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
carrollton,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
chicago,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
fort-wayne,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
plano,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
sarasota,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
portland,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:55:48
