Location,Bad signal ,phone ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
los-angeles,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
long-beach,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
carrollton,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
fort-wayne,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
plano,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
sarasota,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,8%,87%,4%,No problems,Frontier,Down detector,Thu 21 Mar 2019,19:12:30
