Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:13:25
