Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
charlotte,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
atlanta,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
madison,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
kansas-city,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
orlando,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
phenix-city,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
saint-louis,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
houston,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
dayton,,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:51:59
