Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:08
