Location,Bad signal ,Status,Provider,Source,Date collected,Time collected
chattanooga,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
san-francisco,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
toledo,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
coalville,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
san-marcos,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
riverside,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
san-diego,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
littleton,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
urbana,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
milwaukee,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,19:12:30
