Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:13:25
