Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
allentown,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
bethlehem,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
new-york,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
washington,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
easton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
corona,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
northampton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
whitehall,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
somerville,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:05
