Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
houston,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
new-york,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
el-centro,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
brooklyn,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
chicago,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
pompano-beach,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
salt-lake-city,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
dallas,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
seattle,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:33:10
