Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
burnsville,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
preston,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
madison,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
cedar-rapids,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
marion,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
bedford,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
monticello,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
waterloo,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
spruce-pine,50%,12%,37%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,11:54:55
