Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
burnsville,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
preston,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
madison,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
cedar-rapids,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
marion,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
bedford,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
monticello,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
waterloo,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
spruce-pine,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:51:59
