Location,Bad signal ,phone ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
burnsville,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
preston,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
madison,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
marion,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
cedar-rapids,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
bedford,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
monticello,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
waterloo,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
spruce-pine,,75%,25%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,19:12:30
