Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
new-york,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
philadelphia,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
marco-island,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
brooklyn,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
charlotte,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
sumter,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
atlanta,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
tampa,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
indianapolis,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
