Location,Bad signal ,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
new-york,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
philadelphia,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
marco-island,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
brooklyn,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
charlotte,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
sumter,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
atlanta,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
tampa,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
indianapolis,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:05
