Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
sumter,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
houston,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
chicago,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
atlanta,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
los-angeles,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
milwaukee,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
orlando,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
new-york,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:36:46
