Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
sumter,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
houston,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
atlanta,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
los-angeles,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
milwaukee,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
orlando,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,25%,21%,53%,No problems,att,Down detector,Thu 21 Mar 2019,19:12:30
