Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
chicago,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
los-angeles,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
houston,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
brooklyn,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
milwaukee,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
new-york,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
saint-louis,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
dayton,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
medford,7%,73%,19%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:36:46
