Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
los-angeles,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
houston,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
brooklyn,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
milwaukee,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
new-york,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
saint-louis,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
dayton,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
medford,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:51
