Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:16
