Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
bronx,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
new-york,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
corona,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
stamford,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
newark,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
bayonne,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
bridgeport,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
new-rochelle,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
wayne,10%,85%,3%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:36:46
