Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
brooklyn,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
bronx,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
corona,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
stamford,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
newark,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
bayonne,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
bridgeport,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
new-rochelle,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
wayne,,20%,74%,5%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,19:12:30
