Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
new-york,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
dallas,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
houston,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
san-marcos,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
kansas-city,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
los-angeles,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
brooklyn,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
saint-louis,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
grand-junction,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:36:46
