Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
new-york,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
houston,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
san-marcos,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
kansas-city,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
los-angeles,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
brooklyn,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
saint-louis,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
grand-junction,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:32
