Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
new-york,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
philadelphia,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
marco-island,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
brooklyn,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
charlotte,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
sumter,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
atlanta,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
tampa,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
indianapolis,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:37:59
