Location,Bad signal ,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
new-york,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
philadelphia,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
marco-island,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
charlotte,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
brooklyn,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
sumter,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
atlanta,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
tampa,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
indianapolis,,53%,9%,36%,No problems,verizon,Down detector,Thu 21 Mar 2019,17:58:42
