Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:08
