Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
concord,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
lexington,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
atlanta,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
norcross,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
houston,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
grayson,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
blairsville,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
chicago,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:55:48
