Router,Location,Current Index,Response Time (ms),Packet Loss (%),Time collected,date collected,Source
anhm7204.exo.com,California (Anaheim),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
mc-gateway.lansmart.com,California (Fresno),98,17,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
dnsauth1.sys.gtei.net,California (Los Angeles),99,10,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
rx0ar-technicare.ed.bigpipeinc.com,Canada (Edmonton),95,49,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
gw02.wlfdle.phub.net.cable.rogers.com,Canada (Ontario),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
anguhub14.net.ubc.ca,Canada (Vancouver),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
loopback0.gw2.den4.alter.net,Colorado (Denver),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
router.firstcls.com,Georgia,0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
atl-datacenter-gw2.capitalinternet.com,Georgia (Atlanta),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
loopback0.gw9.chi2.alter.net,Illinois (Chicago),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
cisco-gnarly.n-connect.net,Iowa,100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
crystal-cavern.ctcco.com,Kansas (Lenexa),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
cisco.syssrc.com,Maryland,97,26,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
router-in.nemetschek.net,Maryland (Columbia),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
pos1-0-0-155m.ar1.bos1.gblx.net,Massachusetts (Boston),92,72,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
lan-d32-0606-0578.uninet-ide.com.mx,Mexico (Chihuahua),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
rr1.torixt.avantel.net.mx,Mexico (Coahuila),96,40,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
rr2.gdlmha.avantel.net.mx,Mexico (Guadalajara),96,35,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
rr1.reyixt.avantel.net.mx,Mexico (Tamaulipas),95,47,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
revenant.netservicesgroup.com,Michigan (Saginaw),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
border0-e0.oc48-ypsi.hdl.com,Michigan (Ypsilanti),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
wormhole.homeisp.com,Missouri (Kansas City),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
pwps-core01.powerpulse.cc,Nevada (Las Vegas),94,55,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
isp.state.nh.us,New Hampshire,100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
sugaree.arorapc.com,New Jersey,100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
ac-gw.dandy.net,New Jersey (Atlantic City),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
180.atm6-0.gw7.nyc9.alter.net,New York (NYC),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
wookie.core.3z.net,Ohio (Cincinnati),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
sl-bb21-pen-15-0.sprintlink.net,Pennsylvania (Philadelphia),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
gw-inet.ktc.com,Texas,100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
core-router.centramedia.net,Texas (Pampa),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
www.xmission.com,Utah (Salt Lake City),96,34,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
er01.asbn.eli.net,Virginia (Ashburn),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
core1-sttl.sitespecific.net,Washington (Seattle),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
gate.netwrx1.com,Wisconsin,92,74,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
core-1601-bmia-elkwpop-1-3.mia.net,Wisconsin (Elkhorn),0,0,100,13:33:12,Thu 21 Mar 2019,Internet traffic report
5dl-dst-rt2.5ninesdata.com,Wisconsin (Madison),100,0,0,13:33:12,Thu 21 Mar 2019,Internet traffic report
