Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,17:51,5.12,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,23:07,10.35,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,03:50,5.14,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,11:17,5.34,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,18:51,5.42,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,20:52,6.37,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,01:20,5.48,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,06:05,6.04,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,15:10,5.0,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,20:53,5.9,19:12:30,Thu 21 Mar 2019,Is it down right now?,Comcast
