Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,04:00,1511.02,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,09:19,1511.03,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,18:20,510.09,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,02:54,125.55,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,07:54,125.54,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,06:46,160.05,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:41,510.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,22:06,1512.52,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,05:01,125.52,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,16:02,1511.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Cox
