Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,15:33,92.27,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,22:24,74.4,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,04:24,79.57,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,09:31,76.35,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,19:18,71.92,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
20.Mar.2019,18:46,86.41,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,01:04,79.27,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,07:10,77.51,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,15:36,75.8,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
21.Mar.2019,22:12,86.63,19:12:30,Thu 21 Mar 2019,Is it down right now?,Frontier
