Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
26.Feb.2019,21:30,296.66,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
14.Mar.2019,01:02,261.57,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
15.Mar.2019,23:24,258.15,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
19.Mar.2019,04:34,263.87,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,16:36,168.69,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
10.Mar.2019,11:25,257.55,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
15.Mar.2019,07:01,260.96,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
17.Mar.2019,00:19,259.07,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,07:59,258.85,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,20:58,257.84,13:05:46,Thu 21 Mar 2019,Is it down right now?,Mediacom
