Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
11.Mar.2019,14:53,220.79,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,01:21,227.11,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,22:17,223.29,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,03:21,227.47,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,12:49,227.35,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
13.Mar.2019,20:43,224.44,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,17:35,225.69,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
18.Mar.2019,01:58,223.16,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,09:32,228.26,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
21.Mar.2019,04:43,222.63,13:37:59,Thu 21 Mar 2019,Is it down right now?,MegaPath
