Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
26.Feb.2019,11:31,56.3,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
28.Feb.2019,23:20,54.6,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
06.Mar.2019,01:35,39.62,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
11.Mar.2019,12:04,34.74,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
14.Mar.2019,16:32,39.8,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
26.Feb.2019,21:51,38.71,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
04.Mar.2019,16:56,34.73,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
07.Mar.2019,04:20,57.26,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
12.Mar.2019,04:58,43.65,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
16.Mar.2019,17:26,33.92,19:12:30,Thu 21 Mar 2019,Is it down right now?,RCN
