Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
19.Mar.2019,01:56,37.19,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
19.Mar.2019,16:55,32.0,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,09:56,33.51,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,16:44,30.97,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,12:56,36.36,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
19.Mar.2019,13:31,30.69,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
19.Mar.2019,23:02,29.9,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,14:23,31.82,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,03:43,31.48,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,14:58,34.43,13:37:59,Thu 21 Mar 2019,Is it down right now?,Suddenlink
