Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
19.Mar.2019,13:31,30.69,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
19.Mar.2019,23:02,29.9,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,14:23,31.82,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,03:43,31.48,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,14:58,34.43,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
19.Mar.2019,16:55,32.0,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,09:56,33.51,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
20.Mar.2019,16:44,30.97,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,12:56,36.36,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
21.Mar.2019,19:35,31.82,19:12:30,Thu 21 Mar 2019,Is it down right now?,Suddenlink
