Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,13:21,7.36,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,18:03,8.51,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,23:09,8.47,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,03:10,7.04,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,10:32,7.17,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,15:51,7.08,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,20:19,10.93,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,01:09,8.66,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,06:41,12.78,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,13:11,8.74,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
