Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,19:48,5.82,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,01:02,7.06,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,05:32,5.88,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,13:23,8.54,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,17:55,5.07,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,22:45,5.12,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,03:25,5.09,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,10:55,5.93,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,15:45,5.68,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,20:46,5.2,19:12:30,Thu 21 Mar 2019,Is it down right now?,Xfinity
