Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,18:57,5.53,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,23:35,5.52,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,03:58,5.54,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,09:41,5.7,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,13:58,6.28,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
20.Mar.2019,21:29,5.09,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,01:35,5.11,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,06:31,5.21,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,11:45,5.4,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
21.Mar.2019,16:01,5.17,13:37:59,Thu 21 Mar 2019,Is it down right now?,att
