Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,15:02,16.18,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
20.Mar.2019,20:55,15.76,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,01:47,5.3,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,08:34,5.12,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,14:31,5.59,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
20.Mar.2019,17:38,5.36,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
20.Mar.2019,22:57,5.73,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,04:41,5.55,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,12:17,5.41,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
21.Mar.2019,17:06,6.03,13:36:47,Thu 21 Mar 2019,Is it down right now?,Sprint
