Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,16:11,11.58,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,21:17,11.1,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,09:19,11.0,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,14:22,11.24,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,19:11,12.53,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,18:43,11.16,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,06:18,12.83,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,12:12,11.13,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,16:37,11.29,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,21:13,13.54,19:12:30,Thu 21 Mar 2019,Is it down right now?,Verizon
