Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
05.Mar.2019,12:07,82.29,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,23:26,75.67,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
12.Mar.2019,22:01,73.49,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
15.Mar.2019,12:09,73.48,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
20.Mar.2019,18:57,70.24,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,18:43,81.93,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
09.Mar.2019,14:39,69.43,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
14.Mar.2019,08:46,67.57,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
18.Mar.2019,15:23,73.39,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
21.Mar.2019,01:09,69.38,13:37:59,Thu 21 Mar 2019,Is it down right now?,windstream
