Location,Reports,Status,Source,TV,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Salt Lake City, UT",12, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Dallas, TX",10, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Los Angeles, CA",9, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Boise, ID",9, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Meridian, ID",6, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Texarkana, TX",6, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Houston, TX",5, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Lewiston, ID",5, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Prescott Valley, AZ",4, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Lehi, UT",4, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"San Antonio, TX",4, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Austin, TX",4, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
"Idaho Falls, ID",4, No problems detected ,Is the service down,9.30%,Thu 21 Mar 2019 13:13:25,Cable-ONE,4.65%,69.77%,11.63%,4.65%
