Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Denver, CO",524, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Seattle, WA",335, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Portland, OR",283, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Minneapolis, MN",269, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Omaha, NE",260, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Dallas, TX",247, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Salt Lake City, UT",228, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Chicago, IL",210, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Los Angeles, CA",207, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Phoenix, AZ",147, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Des Moines, IA",135, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Tacoma, WA",123, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Albuquerque, NM",95, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Las Vegas, NV",80, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Houston, TX",79, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Saint Paul, MN",74, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Orlando, FL",68, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"West Jordan, UT",64, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Downey, CA",62, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Irving, TX",62, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Fort Worth, TX",58, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Detroit, MI",57, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Fullerton, CA",55, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Boise, ID",53, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Charlotte, NC",48, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
