Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Dallas, TX",26, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Brooklyn, NY",24, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"San Antonio, TX",19, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Houston, TX",18, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Downey, CA",16, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Salem, OR",12, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Denver, CO",10, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Chicago, IL",10, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Los Angeles, CA",9, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Austin, TX",9, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"El Centro, CA",8, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Fort Worth, TX",7, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Ocala, FL",7, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Tampa, FL",6, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Kansas City, MO",6, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Anderson, SC",6, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Phoenix, AZ",6, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Burlington, NC",6, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Portland, OR",5, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Milwaukee, WI",5, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Sumter, SC",5, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Lexington, KY",5, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Garland, TX",5, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
